ID,Household income,Method,education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,car,Volume in lpcd,Shortest distance,Height diff
395,90000,carried,2,6,0,75,15,8000,not_often,fair,9000,0,0,0,0,80,65.73,0
396,80000,carried,1,4,0,75,30,9000,not_often,fair,7000,0,0,0,0,130,52.2,1
397,60000,carried,1,4,0,75,30,9000,often,good,7000,0,0,0,0,130,67.36,1
398,95000,carried,1,6,0,75,15,8000,not_often,good,9000,0,0,0,0,80,56.73,0
399,60000,carried,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,150,135.2,2
400,65000,carried,2,5,0,75,40,9000,not_often,fair,4000,0,0,0,0,90,143.39,3
401,95000,carried,1,6,0,75,15,7000,often,fair,9000,0,0,0,0,70,121.56,3
402,60000,carried,1,3,0,75,40,9000,not_often,good,7000,0,0,0,0,170,66.03,2
403,95000,carried,1,6,0,75,15,7000,often,fair,9000,0,0,0,0,70,155.97,5
404,100000,carried,1,3,0,75,15,9000,not_often,good,12000,0,0,0,0,150,116.73,3
405,60000,carried,1,3,0,75,40,9000,often,good,7000,0,0,0,0,150,151.73,2
406,50000,carried,1,4,0,75,55,9000,not_often,fair,4000,0,0,0,0,130,44.18,3
407,100000,carried,1,2,0,75,15,9000,not_often,fair,19000,0,0,0,0,260,69.32,1
408,50000,carried,1,4,0,75,55,9000,not_often,fair,4000,0,0,0,0,130,91.55,2
409,100000,carried,1,4,0,75,15,9000,not_often,fair,9000,0,0,0,0,130,37.7,0
410,75000,carried,1,4,0,75,30,9000,often,fair,7000,0,0,0,0,110,94.34,3
411,80000,carried,1,6,0,75,15,7000,often,fair,9000,0,0,0,0,70,103.46,2
412,50000,delivered,1,4,0,75,55,9000,not_often,good,4000,0,0,0,0,110,196.36,2
413,100000,delivered,1,3,0,75,15,9000,often,good,12000,0,0,0,0,140,187.96,6
414,40000,delivered,2,4,0,75,60,9000,often,good,3000,0,0,0,0,100,220.1,1
415,65000,delivered,1,5,0,75,40,9000,not_often,good,4000,0,0,0,0,90,163.62,0
416,50000,delivered,1,4,0,75,55,9000,often,fair,4000,0,0,0,0,110,138.36,3
417,90000,delivered,1,6,0,75,15,6000,often,good,9000,0,0,0,0,60,213.04,2
418,40000,delivered,1,4,0,75,55,9000,often,fair,4000,0,0,0,0,110,145.72,2
419,50000,delivered,1,4,0,75,55,9000,not_often,good,4000,0,0,0,0,90,256.45,2
420,50000,delivered,1,4,0,75,30,9000,often,fair,7000,0,0,0,0,110,180.25,2
421,50000,delivered,1,4,0,75,15,9000,often,fair,8000,0,0,0,0,100,214.46,1
422,50000,delivered,1,5,0,75,40,6000,not_often,good,4000,0,0,0,0,60,319.04,2
423,50000,delivered,1,6,0,75,15,5000,often,good,9000,0,0,0,0,50,311.67,8
424,50000,delivered,1,4,0,75,55,9000,often,fair,3000,0,0,0,0,90,247.03,6
425,95000,delivered,1,6,0,75,15,6000,often,good,9000,0,0,0,0,60,145.5,1
426,65000,delivered,1,5,0,75,40,7000,often,fair,4000,0,0,0,0,70,243.13,5
427,95000,delivered,1,6,0,75,15,6000,often,good,9000,0,0,0,0,60,277.12,3
428,100000,delivered,1,6,0,75,15,6000,not_often,good,9000,0,0,0,0,60,259.28,2
